,x,y,waveform,cluster_id,cluster_color
299,10.620732,-0.29332262,"[ 0.08123184  0.08432344  0.0864409   0.08899412  0.09294788  0.09887587
  0.10740905  0.11188971  0.10787627  0.10969295  0.11835124  0.10990188
  0.10195695  0.12169399  0.11164552  0.06979829  0.11892682  0.1518513
 -0.16841637 -0.7392013  -1.         -0.79649246 -0.5174329  -0.3760441
 -0.2636027  -0.1468647  -0.08106631 -0.03663925  0.02166075  0.07171031
  0.11142317  0.15803409  0.1991873   0.22077008  0.23072456  0.2315858
  0.218156    0.19827612  0.18237148  0.16749601]",1,[0.27381 0.52069 0.97899 1.     ]
300,10.491781,6.299197,"[ 0.05850175  0.05768991  0.05724096  0.05972176  0.06008784  0.05864516
  0.06334238  0.06087254  0.04112707  0.04091539  0.06055123  0.03679066
  0.01247687  0.06124442  0.0476324  -0.04623603  0.09792028  0.36349446
  0.08156408 -0.6726644  -1.         -0.7102877  -0.43050477 -0.361865
 -0.25501695 -0.11086551 -0.04049077  0.01765183  0.09752644  0.14696291
  0.17188016  0.20088817  0.22091962  0.22680582  0.22872664  0.22193679
  0.2048535   0.1870799   0.16911064  0.1472539 ]",2,[0.10342 0.896   0.715   1.     ]
301,8.379962,-3.231552,"[ 0.05889265  0.06101966  0.0659473   0.07384326  0.07830229  0.07655941
  0.07924568  0.08842815  0.08766717  0.08291192  0.09383088  0.09478574
  0.07447155  0.08741494  0.10855436  0.06109589  0.05488777  0.13125359
 -0.06829968 -0.65478915 -1.         -0.7063214  -0.26844972 -0.13905767
 -0.12861675 -0.04247942  0.01984036  0.02890966  0.05574061  0.08398741
  0.08679328  0.09819057  0.1278426   0.14579394  0.14152232  0.12948182
  0.12160582  0.11724231  0.11054891  0.10163762]",4,[0.98    0.73    0.22161 1.     ]
302,10.054587,-1.1286285,"[ 0.07515396  0.08240397  0.08796857  0.09477458  0.10248644  0.1061838
  0.10917981  0.11520291  0.11806338  0.11996718  0.12662849  0.1244141
  0.11681426  0.13022842  0.1360818   0.10704997  0.11334321  0.1050069
 -0.18117511 -0.71543336 -1.         -0.7998495  -0.4723311  -0.3127128
 -0.2241049  -0.11438379 -0.04157771 -0.00725759  0.03326955  0.07015452
  0.09571733  0.13031226  0.16722183  0.18477887  0.18589374  0.18129615
  0.17187527  0.15931177  0.14677693  0.13380623]",1,[0.27381 0.52069 0.97899 1.     ]
303,12.521564,-0.96620095,"[ 0.07238178  0.07338553  0.07485534  0.07884648  0.08083631  0.07996427
  0.08454148  0.08719818  0.07737339  0.07642549  0.08609638  0.06945559
  0.05596698  0.0851611   0.06742575  0.01042355  0.1149182   0.24506892
 -0.06704175 -0.7086062  -1.         -0.7935577  -0.54800063 -0.44700566
 -0.33614567 -0.2027938  -0.11835818 -0.04504974  0.04396339  0.11374211
  0.16322885  0.21305692  0.25448203  0.2767177   0.2848591   0.28028938
  0.26265454  0.2400961   0.21838933  0.19432893]",6,[0.4796  0.01583 0.01055 1.     ]
304,9.602413,-0.57255673,"[ 0.0723404   0.07777052  0.08278723  0.08869937  0.09327687  0.09520177
  0.10089055  0.10875695  0.10849241  0.10940336  0.11915946  0.11416916
  0.10333783  0.12465538  0.13036184  0.0894405   0.11981586  0.16555959
 -0.11909767 -0.7027882  -1.         -0.77741295 -0.45906693 -0.33018473
 -0.25242504 -0.14443438 -0.07875238 -0.04417524  0.00751095  0.05747894
  0.09297068  0.13022393  0.16402362  0.18363358  0.19625138  0.20409134
  0.20120044  0.19084433  0.17871803  0.16333687]",1,[0.27381 0.52069 0.97899 1.     ]
305,9.975053,5.270306,"[ 0.05981421  0.06377622  0.06953853  0.07967292  0.08545482  0.08501126
  0.09204058  0.10023169  0.0954536   0.1019481   0.12080263  0.10530569
  0.09505612  0.14458373  0.13514182  0.07057315  0.22982879  0.46372548
  0.14259115 -0.63634795 -1.         -0.74446106 -0.46563277 -0.39101428
 -0.30209306 -0.18673424 -0.14665073 -0.12448054 -0.06910335 -0.01223586
  0.04319864  0.10256279  0.1406885   0.15491427  0.16517654  0.17192462
  0.1686398   0.16104575  0.15468645  0.14987443]",2,[0.10342 0.896   0.715   1.     ]
306,10.002974,-2.2923172,"[ 0.06331534  0.06674276  0.0689638   0.07199369  0.07390048  0.07331887
  0.07706011  0.08264021  0.07827649  0.07682439  0.08913644  0.08423642
  0.06771231  0.08876033  0.09702863  0.04692185  0.07524371  0.15047278
 -0.10458296 -0.6923911  -1.         -0.7663986  -0.43192318 -0.29312956
 -0.20447177 -0.08616383 -0.01127989  0.03763545  0.10225841  0.15276292
  0.180289    0.20771353  0.22616868  0.22205654  0.2082725   0.1940439
  0.17558683  0.1545881   0.13546498  0.11731662]",6,[0.4796  0.01583 0.01055 1.     ]
307,0.15026565,10.433138,"[ 0.05263716  0.0541059   0.05501454  0.05803875  0.06069499  0.06210873
  0.06458393  0.06643229  0.06423119  0.06259309  0.06658872  0.06768727
  0.06066345  0.0592448   0.06012541  0.03429049 -0.01313978 -0.08832413
 -0.31870767 -0.7439444  -1.         -0.67775846 -0.00271855  0.40777117
  0.3894166   0.2530435   0.17389345  0.10093696  0.03391198  0.00979232
  0.00353481 -0.00252239  0.00604739  0.02207573  0.03093224  0.03858997
  0.0484466   0.05350937  0.0545197   0.05597216]",3,[0.64362 0.98999 0.23356 1.     ]
308,11.680831,2.0902243,"[ 0.07077837  0.07332075  0.0752922   0.07926939  0.08084461  0.07980802
  0.08436012  0.08701421  0.07847531  0.08042532  0.09274217  0.07734072
  0.06493144  0.09721257  0.08787452  0.04930544  0.17472999  0.30099607
 -0.04475551 -0.70889664 -1.         -0.8166793  -0.62078166 -0.53770334
 -0.40096897 -0.23750678 -0.13014747 -0.03117174  0.08162687  0.16939892
  0.23164769  0.28014046  0.3013507   0.29564464  0.28070533  0.26183125
  0.23765458  0.21266457  0.18951018  0.16656883]",6,[0.4796  0.01583 0.01055 1.     ]
309,11.48618,0.6442681,"[ 0.09146637  0.09991687  0.10667671  0.11403584  0.12012313  0.12392998
  0.12928575  0.13394238  0.13340157  0.13732815  0.1463208   0.13924037
  0.12894976  0.14467211  0.14307044  0.10378821  0.11279963  0.09677734
 -0.21487033 -0.7447358  -1.         -0.820603   -0.5614978  -0.43580726
 -0.32985193 -0.19991086 -0.11887738 -0.07036822 -0.00139854  0.07584062
  0.1402892   0.19120125  0.21874814  0.21958828  0.21059255  0.20206952
  0.19032481  0.1758898   0.16422953  0.15468004]",5,[0.89298 0.26981 0.03993 1.     ]
310,-0.35427782,10.693174,"[ 0.024571    0.02434202  0.02291558  0.02305927  0.02260938  0.01863191
  0.01735544  0.018602    0.01168841  0.00531335  0.00982549  0.00117632
 -0.0172805  -0.00435871 -0.00175204 -0.04769189 -0.00883511  0.10375607
 -0.09036525 -0.6672221  -1.         -0.67313504 -0.11433551  0.18147123
  0.27576137  0.34492964  0.34757492  0.27043644  0.20624274  0.18062161
  0.15675712  0.1304135   0.11063577  0.09057192  0.06948781  0.05369411
  0.04158432  0.02980261  0.01955042  0.01116599]",3,[0.64362 0.98999 0.23356 1.     ]
311,11.142615,2.7503374,"[ 0.08389702  0.08683465  0.08983386  0.09469862  0.0976276   0.09901633
  0.10440829  0.10628456  0.10003948  0.1045552   0.11447686  0.10039131
  0.09373273  0.11942198  0.1022357   0.0726818   0.18611847  0.26499903
 -0.09370077 -0.72240704 -1.         -0.8193077  -0.59184957 -0.48205236
 -0.36846524 -0.24347219 -0.16357416 -0.09588213 -0.01609577  0.0509818
  0.10467255  0.15872492  0.20472583  0.23427522  0.25137126  0.2573341
  0.2518885   0.23935868  0.22301298  0.20365116]",2,[0.10342 0.896   0.715   1.     ]
312,11.570963,2.1180046,"[ 0.08023743  0.08495998  0.09083736  0.09485975  0.09570631  0.09863874
  0.10451271  0.10509416  0.10323847  0.10873746  0.10906893  0.09891442
  0.10499326  0.11293034  0.09347646  0.13889359  0.289073    0.25895977
 -0.19768634 -0.77601683 -1.         -0.8737115  -0.69139886 -0.548951
 -0.39867586 -0.25836444 -0.15305509 -0.05854364  0.03698594  0.12237359
  0.19328357  0.24652162  0.27599397  0.28425428  0.2793312   0.2659611
  0.24745457  0.22712375  0.20574662  0.18355772]",6,[0.4796  0.01583 0.01055 1.     ]
313,13.257416,0.9262643,"[ 0.11059373  0.11909147  0.12670578  0.13373856  0.1407743   0.1465269
  0.15101488  0.15603119  0.16006324  0.16159865  0.1642298   0.1668995
  0.16340831  0.15935214  0.16067195  0.14813524  0.08337895 -0.09423057
 -0.4344898  -0.8262639  -1.         -0.8566756  -0.6101088  -0.45690882
 -0.36393118 -0.2620808  -0.17097437 -0.09903349 -0.02055647  0.06295069
  0.13578157  0.19588433  0.23899348  0.2584608   0.26044068  0.25514746
  0.2451702   0.2308384   0.21462393  0.19830565]",5,[0.89298 0.26981 0.03993 1.     ]
314,10.269313,1.0114868,"[ 0.09681843  0.10504726  0.11203681  0.11873458  0.12305982  0.12620199
  0.13339682  0.13889134  0.13643758  0.13899556  0.14783092  0.14323686
  0.14075023  0.15906319  0.15113     0.12227831  0.15693972  0.13257547
 -0.21870117 -0.7591524  -1.         -0.8264023  -0.5730434  -0.42737672
 -0.31344414 -0.20720135 -0.15033056 -0.11600562 -0.0685119  -0.01859222
  0.02853552  0.078951    0.12379181  0.1589383   0.19243602  0.2204485
  0.2320939   0.23000796  0.22270045  0.21206518]",5,[0.89298 0.26981 0.03993 1.     ]
315,11.072177,5.5476923,"[ 0.06372307  0.06676733  0.07210196  0.07912013  0.0821866   0.08459087
  0.09157345  0.09396739  0.0926152   0.10384706  0.11081685  0.0972914
  0.10745354  0.13188162  0.09631312  0.110851    0.32002568  0.41361955
 -0.02727284 -0.7149473  -1.         -0.8268427  -0.59116286 -0.43470508
 -0.27661076 -0.13417058 -0.04942498  0.01088515  0.06517136  0.10052001
  0.12461387  0.14729986  0.1615218   0.16586457  0.1655554   0.15963985
  0.14890777  0.13884918  0.12928145  0.11752818]",2,[0.10342 0.896   0.715   1.     ]
316,13.423419,0.59024984,"[ 0.11148556  0.11765062  0.12378949  0.12914488  0.13298157  0.1375428
  0.14354143  0.1460026   0.14621899  0.15327395  0.1595085   0.15136835
  0.14634654  0.152581    0.13041946  0.07745594  0.02881992 -0.1003211
 -0.43086493 -0.8269452  -1.         -0.9040678  -0.7261336  -0.5707088
 -0.41541636 -0.26025507 -0.13067435 -0.02023355  0.08067305  0.16103356
  0.21667527  0.2566426   0.28340405  0.29332682  0.2893534   0.27901834
  0.26559383  0.24798273  0.22658819  0.20474021]",5,[0.89298 0.26981 0.03993 1.     ]
317,-0.09474511,11.061499,"[ 3.0138675e-02  2.9975435e-02  2.8873466e-02  2.8432727e-02
  2.7917312e-02  2.5184365e-02  2.3540216e-02  2.3758944e-02
  1.9006621e-02  1.3915409e-02  1.7182391e-02  1.3385767e-02
 -2.1284855e-04  7.6766978e-03  2.4960028e-02  2.4714828e-02
  6.2164653e-02  8.5659824e-02 -1.7310624e-01 -7.0880073e-01
 -1.0000000e+00 -7.1915543e-01 -1.9978602e-01  1.3889632e-01
  2.7266219e-01  3.1612936e-01  2.9838541e-01  2.5227866e-01
  2.1943079e-01  1.9162866e-01  1.5766877e-01  1.3126853e-01
  1.1379063e-01  9.3634270e-02  7.0885576e-02  5.2273490e-02
  3.9407913e-02  3.1143826e-02  2.5879845e-02  2.1099336e-02]",3,[0.64362 0.98999 0.23356 1.     ]
318,10.696548,1.9700584,"[ 0.09639291  0.10725866  0.11814313  0.12800953  0.13584334  0.145167
  0.1555074   0.16154541  0.16907166  0.18319671  0.19008107  0.19194555
  0.21041659  0.22771959  0.24280016  0.33584934  0.45136794  0.2893075
 -0.25526917 -0.80865836 -1.         -0.8975852  -0.74318683 -0.6103692
 -0.47423935 -0.34583816 -0.24341688 -0.15861374 -0.07989166 -0.00730999
  0.05382163  0.10044419  0.13381137  0.1566881   0.17082526  0.17842957
  0.1827886   0.18451065  0.18145904  0.17483978]",5,[0.89298 0.26981 0.03993 1.     ]
319,9.954249,0.51678294,"[ 0.09391535  0.10069873  0.10562981  0.11347262  0.12187532  0.12554547
  0.12923679  0.13364753  0.13017535  0.12971024  0.14198127  0.13870077
  0.12151808  0.13473994  0.13979982  0.09423222  0.10450776  0.13302551
 -0.1453973  -0.7101852  -1.         -0.79415244 -0.51185584 -0.41449028
 -0.34138656 -0.21714452 -0.13479012 -0.08996096 -0.03086527  0.02390669
  0.06227274  0.10682928  0.15523793  0.18887465  0.20669591  0.21388705
  0.21162045  0.20326182  0.1917608   0.17725375]",1,[0.27381 0.52069 0.97899 1.     ]
320,11.618665,2.171036,"[ 0.0775953   0.08166699  0.08594811  0.09147794  0.09414321  0.09557497
  0.10174476  0.10454363  0.10027759  0.10675408  0.115496    0.10150489
  0.10089163  0.12829107  0.10541636  0.08290769  0.21384864  0.2852667
 -0.10215104 -0.73593616 -1.         -0.83576345 -0.65310264 -0.57178324
 -0.45556056 -0.306003   -0.17953046 -0.05113662  0.08044435  0.17799076
  0.24159107  0.28457776  0.30179596  0.29667124  0.28283712  0.26384583
  0.23952305  0.2143006   0.19025972  0.16628036]",6,[0.4796  0.01583 0.01055 1.     ]
321,13.160284,-0.650347,"[ 0.08313088  0.08522277  0.08782101  0.09199075  0.09550115  0.09851214
  0.10450584  0.1085913   0.10568563  0.10703164  0.11360086  0.10624774
  0.09783824  0.11001897  0.10325349  0.07340415  0.0912135   0.05372104
 -0.27902028 -0.78322333 -1.         -0.8157299  -0.55743444 -0.41511732
 -0.3037889  -0.18051112 -0.08605167 -0.00799931  0.07970734  0.15984513
  0.21828364  0.25915045  0.27970535  0.27798072  0.26341885  0.24479291
  0.22483283  0.20449975  0.18325625  0.16063544]",6,[0.4796  0.01583 0.01055 1.     ]
322,9.048133,-3.1281893,"[ 0.05963866  0.0605302   0.06293093  0.06868193  0.07227462  0.07239666
  0.07655392  0.08185276  0.07798085  0.07641118  0.08661405  0.08369746
  0.0711726   0.08791661  0.09456993  0.05309743  0.0709181   0.117512
 -0.13423869 -0.69555724 -1.         -0.75026387 -0.34940174 -0.16376124
 -0.09900406 -0.02612754  0.01616856  0.0293006   0.06457085  0.11439344
  0.15577435  0.19024247  0.21007532  0.2057524   0.18766205  0.16708814
  0.14605537  0.1278162   0.1129823   0.09567694]",4,[0.98    0.73    0.22161 1.     ]
323,8.086049,-2.7753255,"[ 0.0616561   0.06727301  0.07134048  0.07764512  0.08390231  0.08625249
  0.09198839  0.10037223  0.09732864  0.0953337   0.11031134  0.10909468
  0.09122489  0.11381388  0.12775426  0.06910036  0.08742309  0.18439515
 -0.05165235 -0.67099017 -1.         -0.70952404 -0.30514672 -0.16611259
 -0.11934159 -0.0375092  -0.00287502 -0.00515148  0.01658656  0.03742051
  0.03937085  0.05068141  0.07593442  0.10001896  0.12027525  0.13394675
  0.1358269   0.13013536  0.12282737  0.11423666]",4,[0.98    0.73    0.22161 1.     ]
